theta,epsilon,epsilon_inverse,V_standard,Vstar_delta,Vstar_rho,shot_coefficient,R_opt_at_x_fixed
2.075851981666782253e-01,3.845917818925691511e-01,2.600159564198221140e+00,1.847740591249597220e+00,5.538428530294332158e-02,1.037108107311423139e-01,1.744029780518454809e+00,1.774531325864616065e+03
2.025783478204025712e-01,3.701689606044459291e-01,2.701469076086520094e+00,1.858570141231162376e+00,5.318510700433875388e-02,1.039553194085381105e-01,1.754614821822624293e+00,1.816334692476585587e+03
1.977500620459293479e-01,3.562870189613775995e-01,2.806725888905883703e+00,1.868600640115565703e+00,5.107783795716616670e-02,1.041834220671147282e-01,1.764417218048450975e+00,1.858593399961476280e+03
1.930892083355490729e-01,3.429256727311308373e-01,2.916083803337888192e+00,1.877890971959410571e+00,4.905823526503536036e-02,1.043966215977041173e-01,1.773494350361706440e+00,1.901336317962962312e+03
1.885857420814242014e-01,3.300653990528673587e-01,3.029702607027365602e+00,1.886495683806367341e+00,4.712228964763607447e-02,1.045962454174174106e-01,1.781899438388949930e+00,1.944591590373192048e+03
1.842305642077211592e-01,3.176874054123520752e-01,3.147748330476052292e+00,1.894465306615515043e+00,4.526620852841534842e-02,1.047834701070443492e-01,1.789681836508470791e+00,1.988386726547070339e+03
1.800154042730074122e-01,3.057736081000536066e-01,3.270393433277555495e+00,1.901846647209747498e+00,4.348640191809468453e-02,1.049593419053423959e-01,1.796887305304405213e+00,2.032748655625819538e+03
1.759327169018482795e-01,2.943065975067972184e-01,3.397817135162606306e+00,1.908683067589924232e+00,4.177946752603061559e-02,1.051247941511186945e-01,1.803558273438805593e+00,2.077703824486084613e+03
1.719755980630278958e-01,2.832696181433828064e-01,3.530205627254487943e+00,1.915014735203542928e+00,4.014217913450499747e-02,1.052806618419032114e-01,1.809734073361639606e+00,2.123278241613835235e+03
1.681377116377096304e-01,2.726465436044228641e-01,3.667752346242389994e+00,1.920878858531923861e+00,3.857147513883023987e-02,1.054276940815476182e-01,1.815451164450376353e+00,2.169497536004816084e+03
1.644132262199429484e-01,2.624218523123496016e-01,3.810658263358885467e+00,1.926309905356098806e+00,3.706444802356894525e-02,1.055665647026604592e-01,1.820743340653438347e+00,2.216387012735326152e+03
1.607967607507700680e-01,2.525806048317313923e-01,3.959132177493191573e+00,1.931339804553408701e+00,3.561833479517665518e-02,1.056978813584037030e-01,1.825641923195004956e+00,2.263971702006357646e+03
1.572833352318850908e-01,2.431084163086690841e-01,4.113391116539228953e+00,1.935998135800236053e+00,3.423050734243569121e-02,1.058221934164487871e-01,1.830175942383787335e+00,2.312276434590342433e+03
1.538683359597058098e-01,2.339914524699157061e-01,4.273660381370426364e+00,1.940312294332695142e+00,3.289846681687130098e-02,1.059399984848552329e-01,1.834372295847839895e+00,2.361325798315725024e+03
1.505474732219644063e-01,2.252163920095402450e-01,4.440174141310458289e+00,1.944307660169852126e+00,3.161983358663580240e-02,1.060517484892117834e-01,1.838255911680640287e+00,2.411144262588793481e+03
1.473167497095692058e-01,2.167704071981727543e-01,4.613175815487554843e+00,1.948007746146756869e+00,3.039234032681517594e-02,1.061578547461015654e-01,1.841849891400655359e+00,2.461756223676776244e+03
1.441724398116107919e-01,2.086411635672462683e-01,4.792918055586351755e+00,1.951434327491298415e+00,2.921382827162132337e-02,1.062586921597516720e-01,1.845175635331546715e+00,2.513185929936052617e+03
1.411110560399060909e-01,2.008167781406257069e-01,4.979663598126902180e+00,1.954607579816597385e+00,2.808223779844284604e-02,1.063546033919456069e-01,1.848252976424651806e+00,2.565457655982633696e+03
1.381293342577826488e-01,1.932858201595454295e-01,5.173685266588941900e+00,1.957546189464665520e+00,2.699560550664659858e-02,1.064459020294463293e-01,1.851100287435219149e+00,2.618595622859334981e+03
1.352242104636833253e-01,1.860372842801529814e-01,5.375266597066118202e+00,1.960267467197938984e+00,2.595205758910130653e-02,1.065328756917078984e-01,1.853734591506231100e+00,2.672624091772776410e+03
1.323928059129123036e-01,1.790605803926189621e-01,5.584702103653076399e+00,1.962787447264439100e+00,2.494980586710966036e-02,1.066157885870971517e-01,1.856171658677342018e+00,2.727567350780024753e+03
1.296324106341340543e-01,1.723455153123744088e-01,5.802297774836268296e+00,1.965120982475736744e+00,2.398714288275036882e-02,1.066948838686167245e-01,1.858426098607119936e+00,2.783449759790942608e+03
1.269404691873131930e-01,1.658822767913979979e-01,6.028371561704149784e+00,1.967281831559529071e+00,2.306243753727430998e-02,1.067703857010649932e-01,1.860511445858464175e+00,2.840295785888253704e+03
1.243145697732493671e-01,1.596614227651109719e-01,6.263253719536056252e+00,1.969282738551439760e+00,2.217413166674546410e-02,1.068425010417443366e-01,1.862440237509695340e+00,2.898129996304097858e+03
1.217524282672594882e-01,1.536738562094740468e-01,6.507287736938755174e+00,1.971135511049131095e+00,2.132073473305420158e-02,1.069114213918872097e-01,1.864224089657243955e+00,2.956977190090991826e+03
1.192518871078902115e-01,1.479108329539772226e-01,6.760830021903481146e+00,1.972851082699359271e+00,2.050082337083552336e-02,1.069773239961302330e-01,1.865873758703229024e+00,3.016862220638913186e+03
1.168109014135991913e-01,1.423639372749272436e-01,7.024250797930954526e+00,1.974439581243794706e+00,1.971303646957451097e-02,1.070403732667415397e-01,1.867399207977053166e+00,3.077810114006500044e+03
1.144275251011707545e-01,1.370250570005265844e-01,7.297935296579785458e+00,1.975910391286168188e+00,1.895607033069857117e-02,1.071007220770325286e-01,1.868809669209135604e+00,3.139846237180276148e+03
1.120999114619476850e-01,1.318863901955866780e-01,7.582283498069863903e+00,1.977272203824630203e+00,1.822867842284421960e-02,1.071585125813458300e-01,1.870113691243284304e+00,3.202996124018154205e+03
1.098263065910065894e-01,1.269404338360013984e-01,7.877710590558824499e+00,1.978533067520046096e+00,1.752966867178408494e-02,1.072138771415774988e-01,1.871319190378468500e+00,3.267285473440766964e+03
1.076050371859186561e-01,1.221799596075197059e-01,8.184648310674788263e+00,1.979700439379106225e+00,1.685789902984588876e-02,1.072669393074059535e-01,1.872433500071700285e+00,3.332740331133036761e+03
1.054345090081350439e-01,1.175980124815111383e-01,8.503545076131459268e+00,1.980781226027577890e+00,1.621227635524321101e-02,1.073178144618666813e-01,1.873463411565711167e+00,3.399386996830514818e+03
1.033131998783935052e-01,1.131878966162396249e-01,8.834866888554982367e+00,1.981781825192598490e+00,1.559175357593974541e-02,1.073666105399938009e-01,1.874415214652604744e+00,3.467252095217282204e+03
1.012396530318079302e-01,1.089431618366880627e-01,9.179098376996403630e+00,1.982708163948427416e+00,1.499532701078801211e-02,1.074134286787681025e-01,1.875294735269659396e+00,3.536362663151407560e+03
9.921248240483514225e-02,1.048576139149816067e-01,9.536741898502462789e+00,1.983565729201385963e+00,1.442203709721799967e-02,1.074583635506592416e-01,1.876107365650726777e+00,3.606745844389794001e+03
9.723035695969119152e-02,1.009252814269199217e-01,9.908320153896234217e+00,1.984359605235278323e+00,1.387096307515772731e-02,1.075015041281018047e-01,1.876858101107176546e+00,3.678429287813399242e+03
9.529200357962605561e-02,9.714042050776394710e-02,1.029437586097411383e+01,1.985094500576899623e+00,1.334122305272166485e-02,1.075429339866512540e-01,1.877551566590248466e+00,3.751440945145429396e+03
9.339619689238379263e-02,9.349749323294453962e-02,1.069547391509789236e+01,1.985774778186964129e+00,1.283197042227785141e-02,1.075827318599994198e-01,1.878192046326964793e+00,3.825809344601635530e+03
9.154176918065834445e-02,8.999118474914380439e-02,1.111219952029261648e+01,1.986404476276603770e+00,1.234239574256927770e-02,1.076209717372407088e-01,1.878783504539363047e+00,3.901563103561280968e+03
8.972759253565372461e-02,8.661636666011851560e-02,1.154516217384165877e+01,1.986987337450225821e+00,1.187172114640738969e-02,1.076577235174164260e-01,1.879329613932809284e+00,3.978731526443630628e+03
8.795258971177749574e-02,8.336811513681519070e-02,1.199499350991566438e+01,1.987526826053532147e+00,1.141920243363060000e-02,1.076930530394988872e-01,1.879833773014033316e+00,4.057344067481202273e+03
8.621571644715030069e-02,8.024167557079786572e-02,1.246235192481358567e+01,1.988026153328377177e+00,1.098412374019367213e-02,1.077270226708930412e-01,1.880299130657484108e+00,4.137431001394298619e+03
8.451596998562946328e-02,7.723247590294346487e-02,1.294792104368996810e+01,1.988488292720103523e+00,1.056579902755058580e-02,1.077596913444562876e-01,1.880728601375647235e+00,4.219022988344490841e+03
8.285239612603371995e-02,7.433613545182571336e-02,1.345240768734958259e+01,1.988915995244652013e+00,1.016357295885891160e-02,1.077911146263199477e-01,1.881124880618332051e+00,4.302150601568253478e+03
8.122405723124721810e-02,7.154840588490740672e-02,1.397655178521513974e+01,1.989311813552501196e+00,9.776812380322987689e-03,1.078213455025112261e-01,1.881490468049989984e+00,4.386845817377552521e+03
7.963006477817261008e-02,6.886522511500337007e-02,1.452111712885600170e+01,1.989678107963290365e+00,9.404913514455931836e-03,1.078504339247965821e-01,1.881827674038493825e+00,4.473140324034769947e+03
7.806955168034178383e-02,6.628266648789149507e-02,1.508690058784342725e+01,1.990017066861998751e+00,9.047294635622938827e-03,1.078784274788229802e-01,1.882138639383175827e+00,4.561066858437920018e+03
7.654168357649976384e-02,6.379695527581852321e-02,1.567472923553513375e+01,1.990330716354360874e+00,8.703398109047921077e-03,1.079053713098755835e-01,1.882425345044485221e+00,4.650658562658320079e+03
